patent_id,score,title,publication_date,search_expressions
2020193568,5,排ガス浄化装置,20201203,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2022061298,5,排ガス浄化装置,2022-04-18,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2020032312,5,アンモ酸化用触媒の製造方法、及び、アクリロニトリルの製造方法,20200305,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2022138904,5,燃料電池用電極触媒、その選定方法及びそれを備える燃料電池,2022-09-26,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2020077469,5,空気二次電池用の空気極及び空気二次電池,20200521,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2021512791,5,改善されたフィルタ特性を有する四元変換触媒,20210520,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2021113157,5,アルキル尿素化合物の製造方法,20210805,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2021077470,5,燃料電池用の電極触媒材料,20210520,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
WO2020153156,5,多孔質セラミック構造体,20200730,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
2021531966,5,ディーゼルエンジンの排気ガスを処理するためのＳＣＲ触媒,20211125,"[broad fi_pref=B01J23 ft_pref=3B116CD kw=排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン] SELECT c.metadata.patent_id AS patent_id, c.metadata.title AS title, c.metadata.classification_fi AS classification_fi, c.metadata.f_term AS f_term, c.summary AS summary, c.claims AS claims, c.metadata.keywords AS doc_keywords, c.metadata.classification_ipc AS classification_ipc, c.metadata.publication_date AS publication_date FROM c WHERE EXISTS (SELECT VALUE 1 FROM fi IN c.metadata.classification_fi WHERE STARTSWITH(fi, @fi_pref, true)) OR EXISTS (SELECT VALUE 1 FROM ft IN c.metadata.f_term WHERE STARTSWITH(ft, @ft_pref, true)) OR CONTAINS(c.metadata.title, @kw, true) | params: {""fi_pref"": ""B01J23"", ""ft_pref"": ""3B116CD"", ""kw"": ""排気浄化装置（浄化システム、エミッション制御システム）、自動車、エンジン""}"
