case_id,syutugan,expected,vector_found_10,vector_rank_10,vector_found_50,vector_rank_50,vector_found_100,vector_rank_100,vector_top5_10
CASE_0745,JP2020018344A,JP2018078944A,False,-1,False,-1,False,-1,"['JP2020018344A', 'JP2020032030A', 'JP2020130361A', 'JP2020018346A', 'JP2020130360A']"
CASE_0771,JP2020036782A,JP2018126213A,False,-1,False,-1,False,-1,"['JP2020036782A', 'JP2022166419A', 'JP2019187703A', 'JP2019187861A', 'JP2021098133A']"
CASE_0803,JP2020056884A,JP2017116905A,True,5,True,5,True,5,"['JP2020056884A', 'JP2019120813A', 'JP2021018410A', 'JP2020056883A', 'JP2017116905A']"
CASE_0809,JP2020058716A,JP2018143656A,True,5,True,5,True,5,"['JP2020068851A', 'JP2020058716A', 'JP2020058715A', 'JP2020068850A', 'JP2018143656A']"
CASE_0821,JP2020068851A,JP2018143656A,True,5,True,5,True,5,"['JP2020068851A', 'JP2020058716A', 'JP2020058715A', 'JP2020068850A', 'JP2018143656A']"
CASE_0829,JP2020081095A,JP2018175328A,False,-1,False,-1,False,-1,"['JP2020081095A', 'JP2020081102A', 'JP2020081101A', 'JP2020028772A', 'JP2020028773A']"
CASE_0855,JP2020096650A,JP2018038642A,False,-1,False,-1,False,-1,"['JP2020096650A', 'JP2020089523A', 'JP2020089524A', 'JP2021016504A', 'JP2021016503A']"
CASE_0893,JP2020120891A,JP2018187480A,False,-1,False,-1,False,-1,"['JP2020120891A', 'JP2020120884A', 'JP2020120885A', 'JP2020120883A', 'JP2021184933A']"
CASE_0905,JP2020127515A,JP2018166729A,False,-1,False,-1,False,-1,"['JP2020127515A', 'JP2020127516A', 'JP2021097781A', 'JP2021097791A', 'JP2021097792A']"
CASE_0906,JP2020127516A,JP2018166729A,False,-1,False,-1,False,-1,"['JP2020127516A', 'JP2020127515A', 'JP2021097781A', 'JP2021097791A', 'JP2021097792A']"
CASE_0912,JP2020130352A,JP2015080606A,False,-1,False,-1,True,88,"['JP2020130352A', 'JP2021126556A', 'JP2020120739A', 'JP2020074900A', 'JP2020069030A']"
CASE_0913,JP2020130381A,JP2019000319A,False,-1,False,-1,False,-1,"['JP2020130381A', 'JP2020025766A', 'JP2020025768A', 'JP2020025767A', 'JP2020175027A']"
CASE_0960,JP2020171155A,JP2019221057A,True,2,True,2,True,2,"['JP2020171155A', 'JP2019221057A', 'JP2019022277A', 'JP2020137130A', 'JP2016067146A']"
CASE_0971,JP2020178764A,JP2018023886A,False,-1,False,-1,False,-1,"['JP2020178764A', 'JP2021126243A', 'JP2020162690A', 'JP2019150377A', 'JP2020081697A']"
CASE_0986,JP2020185453A,JP2019000447A,True,4,True,4,True,4,"['JP2020185453A', 'JP2020185492A', 'JP2019107171A', 'JP2019000447A', 'JP2019107173A']"
CASE_0987,JP2020185454A,JP2019000451A,True,3,True,3,True,3,"['JP2020185454A', 'JP2020171831A', 'JP2019000451A', 'JP2020171827A', 'JP2019017902A']"
CASE_1027,JP2021003440A,JP2018175053A,False,-1,False,-1,False,-1,"['JP2021003440A', 'JP2021003387A', 'JP2021003385A', 'JP2021003384A', 'JP2021003388A']"
CASE_1030,JP2021006134A,JP2019000452A,False,-1,False,-1,False,-1,"['JP2021006134A', 'JP2021006133A', 'JP2020151347A', 'JP2019150321A', 'JP2019150320A']"
CASE_1065,JP2021037176A,JP2017221468A,False,-1,False,-1,False,-1,"['JP2021037176A', 'JP2021040848A', 'JP2017051481A', 'JP2016158877A', 'JP2019037567A']"
CASE_1104,JP2021069790A,JP2019180868A,False,-1,False,-1,False,-1,"['JP2021069790A', 'JP2020010993A', 'JP2019042404A', 'JP2021132988A', 'JP2020065660A']"
CASE_1145,JP2021098772A,JP2018028087A,False,-1,False,-1,False,-1,"['JP2021098772A', 'JP2018168213A', 'JP2016204593A', 'JP2020132780A', 'JP2020094087A']"
CASE_1148,JP2021100729A,JP2021029525A,False,-1,False,-1,False,-1,"['JP2021100729A', 'JP2022162200A', 'JP2021166880A', 'JP2021166879A', 'JP2019201776A']"
CASE_1161,JP2021109952A,JP2019151706A,False,-1,False,-1,True,56,"['JP2021109952A', 'JP2019210419A', 'JP2016199762A', 'JP2015187187A', 'JP2019031586A']"
CASE_1202,JP2021148587A,JP2019128232A,True,2,True,2,True,2,"['JP2021148587A', 'JP2019128232A', 'JP2020122858A', 'JP2021148884A', 'JP2021148883A']"
CASE_1215,JP2021159220A,JP2017144012A,False,-1,False,-1,False,-1,"['JP2021159220A', 'JP2019115682A', 'JP2017035384A', 'JP2018143564A', 'JP2016112193A']"
CASE_1225,JP2021166835A,JP2021104294A,True,7,True,7,True,7,"['JP2021166835A', 'JP2021145909A', 'JP2021145908A', 'JP2021145910A', 'JP2021045305A']"
CASE_1315,JP2022056451A,JP2021003364A,False,-1,False,-1,False,-1,"['JP2022056451A', 'JP2019042312A', 'JP2019042327A', 'JP2019013600A', 'JP2019013583A']"
CASE_1383,JP2022140025A,JP2019059935A,False,-1,False,-1,True,51,"['JP2022140025A', 'JP2021075582A', 'JP2017179157A', 'JP2021054878A', 'JP2018080287A']"
CASE_1399,JP2022166420A,JP2019083896A,False,-1,False,-1,False,-1,"['JP2022166420A', 'JP2022166421A', 'JP2022166407A', 'JP2022166429A', 'JP2022166417A']"
CASE_1428,JP2022502779A,JP2022503818A,True,2,True,2,True,2,"['JP2022502779A', 'JP2022503818A', 'JP2022040020A', 'JP2022162696A', 'JP2021051502A']"
CASE_1429,JP2022503818A,JP2022502779A,True,2,True,2,True,2,"['JP2022503818A', 'JP2022502779A', 'JP2022040020A', 'JP2022162696A', 'JPWO2017171045A']"
CASE_1456,JP2023022625A,JP2016046233A,False,-1,True,23,True,23,"['JP2023022625A', 'JP2018181837A', 'JP2022075142A', 'JP2021064456A', 'JP2019125444A']"
CASE_1470,JP2023045705A,JP2019000316A,False,-1,False,-1,False,-1,"['JP2023045693A', 'JP2023045719A', 'JP2023058893A', 'JP2023045705A', 'JP2023045721A']"
CASE_1475,JP2023048234A,JP2020116319A,False,-1,False,-1,False,-1,"['JP2023048234A', 'JP2023048229A', 'JP2023048230A', 'JP2023048228A', 'JP2023048233A']"
